1000 0.0011 111079
2000  0.0025 444589
3000  0.0035 999475
4000  0.0048 1780000
5000  0.006 2780000
6000  0.0076 3500000
7000  0.0105 5450000
8000  0.0114 7110000
9000  0.013 9000000
10000  0.0165 11100000
11000  0.0191 13400000
12000  0.0204 16000000
13000  0.0234 18800000
14000  0.0268 21800000
15000  0.029 25000000
